회차,당첨번호,,,,,,,,,,,,,,,,,,,
year,회차,일자,1등 당첨자수,1등 당첨액,2등 당첨자수,2등 당첨액,3등 당첨자수,3등 당첨액,4등 당첨자수,4등 당첨액,5등 당첨자수,5등 당첨액,당첨번호#1,당첨번호#2,당첨번호#3,당첨번호#4,당첨번호#5,당첨번호#6,당첨번호#7
2023,1070,2023.6.3,14,"1,859,116,929",63,"68,856,183","2,938","1,476,495","142,759","50,000","2,353,987","5,000",3,6,14,22,30,41,36
2023,1069,2023.5.27,14,"1,863,217,554",79,"55,031,743","3,006","1,446,277","146,335","50,000","2,419,527","5,000",1,10,18,22,28,31,44
2023,1068,2023.5.20,19,"1,363,929,514",87,"49,644,944","3,114","1,386,998","150,789","50,000","2,480,427","5,000",4,7,19,26,33,35,3
2023,1067,2023.5.13,13,"1,981,114,010",82,"52,346,509","3,679","1,166,734","163,488","50,000","2,567,588","5,000",7,10,19,23,28,33,18
2023,1066,2023.5.6,15,"1,670,947,250",88,"47,470,093","3,323","1,257,108","152,826","50,000","2,432,046","5,000",6,11,16,19,21,32,45
2023,1065,2023.4.29,14,"1,852,593,938",74,"58,415,125","3,117","1,386,821","148,561","50,000","2,416,212","5,000",3,18,19,23,32,45,24
2023,1064,2023.4.22,19,"1,348,168,106",62,"68,858,049","3,296","1,295,267","158,665","50,000","2,525,390","5,000",3,6,9,18,22,35,14
2023,1063,2023.4.15,7,"3,770,311,875",55,"79,976,313","2,706","1,625,535","139,518","50,000","2,401,618","5,000",3,6,22,23,24,38,30
2023,1062,2023.4.8,7,"3,801,933,804",68,"65,229,257","2,668","1,662,515","133,599","50,000","2,278,058","5,000",20,31,32,40,41,45,12
2023,1061,2023.4.1,11,"2,422,768,773",99,"44,866,089","3,003","1,479,102","145,857","50,000","2,425,576","5,000",4,24,27,35,37,45,15
2023,1060,2023.3.25,28,"898,238,907",96,"43,664,392","4,593","912,646","179,475","50,000","2,566,118","5,000",3,10,24,33,38,45,36
2023,1059,2023.3.18,13,"2,033,168,481",83,"53,074,680","3,127","1,408,762","151,941","50,000","2,516,955","5,000",7,10,22,25,34,40,27
2023,1058,2023.3.11,13,"2,058,020,250",60,"74,317,398","3,074","1,450,568","152,446","50,000","2,545,208","5,000",11,23,25,30,32,40,42
2023,1057,2023.3.4,17,"1,616,069,714",664,"6,895,880","2,962","1,545,870","146,471","50,000","2,461,496","5,000",8,13,19,27,40,45,12
2023,1056,2023.2.25,14,"1,969,662,456",81,"56,739,248","3,223","1,425,964","150,996","50,000","2,464,595","5,000",13,20,24,32,36,45,29
2023,1055,2023.2.18,11,"2,362,815,205",92,"47,085,086","3,413","1,269,215","165,590","50,000","2,662,001","5,000",4,7,12,14,22,33,31
2023,1054,2023.2.11,9,"3,147,925,709",66,"71,543,767","2,714","1,739,827","140,308","50,000","2,407,955","5,000",14,19,27,28,30,45,33
2023,1053,2023.2.4,7,"4,090,367,411",64,"74,563,990","2,702","1,766,135","136,905","50,000","2,367,764","5,000",22,26,29,30,34,45,15
2023,1052,2023.1.28,11,"2,341,682,762",108,"39,750,788","2,926","1,467,220","148,178","50,000","2,405,830","5,000",5,17,26,27,35,38,1
2023,1051,2023.1.21,18,"1,669,558,480",70,"71,552,507","2,824","1,773,611","143,314","50,000","2,477,370","5,000",21,26,30,32,33,35,44
2023,1050,2023.1.14,17,"1,535,083,280",70,"62,134,324","2,866","1,517,587","144,610","50,000","2,402,116","5,000",6,12,31,35,38,43,17
2023,1049,2023.1.7,15,"1,727,810,100",89,"48,533,992","2,968","1,455,366","147,061","50,000","2,462,622","5,000",3,5,13,20,21,37,17
2022,1048,2022.12.31,17,"1,612,494,508",102,"44,791,515","3,817","1,196,944","170,086","50,000","2,721,555","5,000",6,12,17,21,32,39,30
2022,1047,2022.12.24,9,"2,748,797,875",83,"49,677,071","2,728","1,511,436","139,530","50,000","2,313,403","5,000",2,20,33,40,42,44,32
2022,1046,2022.12.17,12,"2,011,415,719",57,"70,575,991","2,959","1,359,524","139,560","50,000","2,260,269","5,000",7,16,25,29,35,36,28
2022,1045,2022.12.10,13,"1,990,060,443",67,"64,355,189","2,699","1,597,554","135,872","50,000","2,280,432","5,000",6,14,15,19,21,41,37
2022,1044,2022.12.3,8,"3,136,941,235",72,"58,091,505","2,597","1,610,547","134,226","50,000","2,254,796","5,000",12,17,20,26,28,36,4
2022,1043,2022.11.26,17,"1,468,646,956",86,"48,385,656","3,156","1,318,494","155,087","50,000","2,495,858","5,000",3,5,12,22,26,31,19
2022,1042,2022.11.19,20,"1,240,663,669",100,"41,355,456","3,567","1,159,391","157,156","50,000","2,462,593","5,000",5,14,15,23,34,43,4
2022,1041,2022.11.12,25,"935,091,165",85,"45,837,803","3,947","987,133","167,535","50,000","2,620,869","5,000",6,7,9,11,17,18,45
2022,1040,2022.11.5,7,"3,660,482,625",63,"67,786,716","2,583","1,653,335","133,245","50,000","2,235,373","5,000",8,16,26,29,31,36,11
2022,1039,2022.10.29,16,"1,585,019,672",80,"52,833,990","2,773","1,524,241","140,403","50,000","2,359,126","5,000",2,3,6,19,36,39,26
2022,1038,2022.10.22,15,"1,627,457,225",77,"52,839,521","3,364","1,209,466","154,690","50,000","2,436,512","5,000",7,16,24,27,37,44,2
2022,1037,2022.10.15,15,"1,708,576,825",78,"54,762,078","2,713","1,574,435","137,021","50,000","2,279,500","5,000",2,14,15,22,27,33,31
2022,1036,2022.10.8,9,"2,837,323,167",64,"66,499,762","2,593","1,641,337","133,443","50,000","2,231,388","5,000",2,5,22,32,34,45,39
2022,1035,2022.10.1,8,"3,231,193,735",71,"60,679,695","2,848","1,512,732","141,624","50,000","2,366,499","5,000",9,14,34,35,41,42,2
2022,1034,2022.9.24,9,"2,868,856,209",66,"65,201,278","2,898","1,484,916","142,939","50,000","2,400,364","5,000",26,31,32,33,38,40,11
2022,1033,2022.9.17,13,"1,913,414,943",79,"52,477,625","3,083","1,344,708","145,505","50,000","2,376,004","5,000",3,11,15,20,35,44,10
2022,1032,2022.9.10,10,"2,675,257,538",90,"49,541,807","3,078","1,448,591","149,807","50,000","2,458,611","5,000",1,6,12,19,36,42,28
2022,1031,2022.9.3,8,"3,213,957,563",64,"66,957,450","2,789","1,536,493","132,815","50,000","2,247,015","5,000",6,7,22,32,35,36,19
